epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,527.47,0.3486,0.35088,0.16363,0.001,0.10925,0.95749,0.90607,0.93234,0.82989,0.95749,0.90607,0.93234,0.7461,0.60616,0.85695,0.66922,0.00261,0,0.00028475,0.00028475,0.00028475
80,533.724,0.33671,0.33327,0.17164,0.00102,0.10376,0.95914,0.89784,0.93349,0.8437,0.95914,0.89784,0.93349,0.73968,0.61006,0.83706,0.67544,0.00268,0,0.000272375,0.000272375,0.000272375
81,539.968,0.34465,0.35511,0.16354,0.00094,0.10596,0.96805,0.88265,0.93194,0.82749,0.96805,0.88265,0.93194,0.74027,0.62168,0.82848,0.68317,0.00266,0,0.00026,0.00026,0.00026
82,546.186,0.35939,0.34764,0.1597,0.00098,0.11103,0.95037,0.90758,0.93387,0.82545,0.95037,0.90758,0.93387,0.7436,0.63438,0.83521,0.66386,0.00272,0,0.000247625,0.000247625,0.000247625
83,552.491,0.3532,0.3238,0.1575,0.00107,0.09266,0.9755,0.89615,0.92552,0.81275,0.9755,0.89615,0.92552,0.75601,0.61911,0.85488,0.65566,0.00263,0,0.00023525,0.00023525,0.00023525
84,558.768,0.35495,0.32346,0.15067,0.00101,0.10282,0.97301,0.90363,0.92552,0.81098,0.97301,0.90363,0.92552,0.7551,0.61089,0.85758,0.6551,0.00253,0,0.000222875,0.000222875,0.000222875
85,565.025,0.32778,0.32423,0.16688,0.00087,0.09559,0.98026,0.90504,0.92503,0.81913,0.98026,0.90504,0.92503,0.74398,0.58594,0.85944,0.64959,0.0024,0,0.0002105,0.0002105,0.0002105
86,571.3,0.33183,0.31326,0.15648,0.00092,0.11018,0.98074,0.90717,0.92547,0.83024,0.98074,0.90717,0.92547,0.73878,0.5851,0.86296,0.64212,0.00228,0,0.000198125,0.000198125,0.000198125
87,577.557,0.34039,0.3229,0.17332,0.00094,0.10731,0.97591,0.90697,0.92485,0.83571,0.97591,0.90697,0.92485,0.73795,0.59523,0.87024,0.65647,0.00227,0,0.00018575,0.00018575,0.00018575
88,583.787,0.34395,0.31767,0.16269,0.001,0.10641,0.96234,0.9068,0.92363,0.83385,0.96234,0.9068,0.92363,0.74349,0.5898,0.87411,0.66751,0.00235,0,0.000173375,0.000173375,0.000173375
89,590.046,0.33033,0.33316,0.14989,0.00098,0.10209,0.94452,0.90503,0.92146,0.83471,0.94452,0.90503,0.92146,0.74336,0.5941,0.88446,0.68515,0.00248,0,0.000161,0.000161,0.000161
90,596.305,0.31222,0.33176,0.13199,0.00084,0.11114,0.93899,0.89074,0.92021,0.82831,0.93899,0.89074,0.92021,0.7463,0.60013,0.89794,0.7079,0.00259,0,0.000148625,0.000148625,0.000148625
91,602.618,0.29487,0.29547,0.14904,0.00079,0.09374,0.94654,0.90047,0.91959,0.8211,0.94654,0.90047,0.91959,0.74527,0.60105,0.91013,0.7358,0.00263,0,0.00013625,0.00013625,0.00013625
92,608.853,0.31043,0.29873,0.1375,0.00083,0.09709,0.96142,0.88896,0.91869,0.82089,0.96142,0.88896,0.91869,0.74417,0.59811,0.90792,0.72144,0.00256,0,0.000123875,0.000123875,0.000123875
93,615.098,0.30132,0.30316,0.13486,0.00084,0.09019,0.96015,0.8908,0.91994,0.82014,0.96015,0.8908,0.91994,0.74126,0.59184,0.90412,0.71409,0.00252,0,0.0001115,0.0001115,0.0001115
94,621.351,0.29328,0.29515,0.14883,0.0008,0.10027,0.94651,0.90102,0.91959,0.82016,0.94651,0.90102,0.91959,0.73837,0.60005,0.90681,0.71972,0.00249,0,9.9125e-05,9.9125e-05,9.9125e-05
95,627.604,0.29783,0.33664,0.14444,0.0008,0.11386,0.94589,0.8831,0.91805,0.82399,0.94589,0.8831,0.91805,0.72991,0.60152,0.90575,0.72774,0.00245,0,8.675e-05,8.675e-05,8.675e-05
96,633.831,0.27278,0.30693,0.14313,0.00072,0.09884,0.97529,0.85435,0.91848,0.82252,0.97529,0.85435,0.91848,0.73025,0.61051,0.90381,0.72307,0.00251,0,7.4375e-05,7.4375e-05,7.4375e-05
97,640.072,0.27281,0.32666,0.13705,0.00074,0.10132,0.95955,0.87704,0.91776,0.82484,0.95955,0.87704,0.91776,0.72827,0.60919,0.90465,0.72535,0.00253,0,6.2e-05,6.2e-05,6.2e-05
98,646.306,0.27876,0.31254,0.12932,0.00073,0.10594,0.95495,0.88824,0.91813,0.82957,0.95495,0.88824,0.91813,0.72782,0.595,0.9048,0.72343,0.0025,0,4.9625e-05,4.9625e-05,4.9625e-05
99,652.592,0.28615,0.29775,0.1259,0.00077,0.10325,0.93625,0.87685,0.91567,0.82595,0.93625,0.87685,0.91567,0.7289,0.61239,0.90321,0.72375,0.00257,0,3.725e-05,3.725e-05,3.725e-05
100,658.867,0.28393,0.31322,0.12593,0.00075,0.10389,0.94423,0.89485,0.91627,0.82933,0.94423,0.89485,0.91627,0.72919,0.6102,0.90277,0.72017,0.00256,0,2.4875e-05,2.4875e-05,2.4875e-05
